task,country,lga,burden,burden_raw_uncalibrated,ci_lo,ci_hi,population
pw,Nigeria,MubiNorth,96928.55187124758,98117.30860184203,67637.18857453046,129814.90779307515,177185.238328
pw,Nigeria,Jalingo,96474.69542252255,96475.15041458813,57587.33312229892,139970.70508246263,190535.104728
pw,Nigeria,Ijebu-Ode,96301.43627785065,93268.95480535342,63892.580934343365,141815.27469687295,249533.620581
pw,Nigeria,Wushishi,95861.49666513446,97115.40583012206,75404.39355300162,118424.8290528289,122266.55645799999
pw,Nigeria,IleshaWest,95669.58615004651,94744.34428134796,39116.13837798668,150752.71810520874,140715.796038
pw,Nigeria,Odogbolu,95356.93797536413,95177.77930113429,68560.38949321606,131598.5345684835,179721.423869
pw,Nigeria,Tai,95323.50431979218,93730.26519172234,65465.629941623694,124381.12591775024,172383.152506
pw,Nigeria,Gudu,95132.66366412774,93926.97390808779,75315.54691215827,118016.01334594037,133495.727051
pw,Nigeria,Chanchaga,95116.43590315076,97580.23534967266,64811.67931588618,124999.22281382963,273917.837812
pw,Nigeria,Tarmuwa,94358.63375382332,94197.23265512363,73706.38730097403,123253.55785538071,121487.774091
pw,Nigeria,Oyun,93782.84232349586,93030.70193347725,63954.12894135338,132056.12490694504,137533.702094
pw,Nigeria,Ussa,93592.97372270255,94707.57559911968,74377.90954429252,115088.539582819,126691.841478
pw,Nigeria,Yauri,93339.12056746245,93139.76002289494,69964.77168841044,116821.48495948726,123543.14220700001
pw,Nigeria,Asa,93236.77582467282,90641.43035606634,68085.5263728011,124517.0577319112,194285.720113
pw,Nigeria,Keana,93148.2408951932,93402.44800972893,62017.45990549022,136342.91888564668,117487.434209
pw,Nigeria,IbarapaCentral,93124.87406439189,92069.70946375764,37728.66587556312,163990.47359049338,153151.221308
pw,Nigeria,Unuimo,93043.7149940593,89664.32588464447,59260.265410237946,139232.9429692777,138704.664441
pw,Nigeria,Olorunsogo,92708.85558128213,93145.82925999946,45732.062716944674,153506.51491848548,119448.863253
pw,Nigeria,OwanWest,92550.6623954464,90104.70611507878,51855.31576905568,137289.8740776237,136259.220032
pw,Nigeria,Tarka,92510.20059799611,94265.26152672198,63473.90027071544,127403.39489876389,110993.407901
pw,Nigeria,Kaga,92308.70725477085,94279.5381187214,50794.20952264444,157293.74290261613,135741.965508
pw,Nigeria,AniochaNorth,91635.07205048161,91715.64922423198,59579.142285331865,130510.23005970498,139160.696393
