scheme,task,fold,features,stratum,n,pos_rate,auroc
random,sw,0,urbrur,rural,20177,0.10155127124944244,0.5
random,sw,1,dinov2,all,37656,0.3076003824091778,0.9249726937820624
random,sw,1,dinov2,urban,16547,0.5608267359642232,0.8841749933568374
random,sw,1,dinov2,rural,20417,0.09594945388646715,0.8887760361658223
random,sw,1,urbrur,all,37656,0.3076003824091778,0.7706120410322713
random,sw,1,urbrur,urban,16547,0.5608267359642232,0.5
random,sw,1,urbrur,rural,20417,0.09594945388646715,0.5
random,sw,2,dinov2,all,37071,0.3092174476005503,0.9260449005034004
random,sw,2,dinov2,urban,16128,0.5771949404761905,0.8802735514757528
random,sw,2,dinov2,rural,20418,0.09423058086002546,0.8968146549524294
random,sw,2,urbrur,all,37071,0.3092174476005503,0.7791820537713082
random,sw,2,urbrur,urban,16128,0.5771949404761905,0.5
random,sw,2,urbrur,rural,20418,0.09423058086002546,0.5
random,sw,3,dinov2,all,37289,0.3178685403202017,0.9176503282790321
random,sw,3,dinov2,urban,16038,0.5904102755954608,0.8784151168724678
random,sw,3,dinov2,rural,20802,0.10321122968945294,0.8577490647537338
random,sw,3,urbrur,all,37289,0.3178685403202017,0.7768841215993048
random,sw,3,urbrur,urban,16038,0.5904102755954608,0.5
random,sw,3,urbrur,rural,20802,0.10321122968945294,0.5
random,sw,4,dinov2,all,37472,0.3189581554227156,0.9188371530794023
random,sw,4,dinov2,urban,15994,0.5954107790421408,0.8808346750734823
random,sw,4,dinov2,rural,20940,0.10477554918815664,0.8582231848476507
random,sw,4,urbrur,all,37472,0.3189581554227156,0.777734002887202
random,sw,4,urbrur,urban,15994,0.5954107790421408,0.5
random,sw,4,urbrur,rural,20940,0.10477554918815664,0.5
spatial,sw,0,dinov2,all,36580,0.3604155276107162,0.8849839517132835
spatial,sw,0,dinov2,urban,16490,0.6476046088538508,0.7890081001302234
spatial,sw,0,dinov2,rural,19820,0.12048435923309789,0.8394901836319427
spatial,sw,0,urbrur,all,36580,0.3604155276107162,0.7835244220653436
spatial,sw,0,urbrur,urban,16490,0.6476046088538508,0.5
spatial,sw,0,urbrur,rural,19820,0.12048435923309789,0.5
spatial,sw,1,dinov2,all,35168,0.28784690627843496,0.852880851215811
spatial,sw,1,dinov2,urban,15190,0.5491112574061883,0.7534014479784161
spatial,sw,1,dinov2,rural,19664,0.08421480878763223,0.7548569395888463
spatial,sw,1,urbrur,all,35168,0.28784690627843496,0.779109571555158
spatial,sw,1,urbrur,urban,15190,0.5491112574061883,0.5
spatial,sw,1,urbrur,rural,19664,0.08421480878763223,0.5
spatial,sw,2,dinov2,all,38255,0.2836230558096981,0.8560141351312495
spatial,sw,2,dinov2,urban,16473,0.5217021793237419,0.7712044294695459
spatial,sw,2,dinov2,rural,20750,0.08544578313253012,0.7573926652862442
spatial,sw,2,urbrur,all,38255,0.2836230558096981,0.7660618693652224
spatial,sw,2,urbrur,urban,16473,0.5217021793237419,0.5
spatial,sw,2,urbrur,rural,20750,0.08544578313253012,0.5
spatial,sw,3,dinov2,all,39295,0.3113373202697544,0.8284833793331624
spatial,sw,3,dinov2,urban,15745,0.5862178469355351,0.6829515519232641
spatial,sw,3,dinov2,rural,23049,0.11874701722417458,0.7798307312033844
spatial,sw,3,urbrur,all,39295,0.3113373202697544,0.7640746521625587
spatial,sw,3,urbrur,urban,15745,0.5862178469355351,0.5
spatial,sw,3,urbrur,rural,23049,0.11874701722417458,0.5
spatial,sw,4,dinov2,all,37354,0.3364833752744017,0.890117171731309
spatial,sw,4,dinov2,urban,17275,0.6109406657018813,0.7910354798274676
spatial,sw,4,dinov2,rural,19471,0.08828514200606029,0.8421233039215763
spatial,sw,4,urbrur,all,37354,0.3364833752744017,0.7918293360773605
spatial,sw,4,urbrur,urban,17275,0.6109406657018813,0.5
spatial,sw,4,urbrur,rural,19471,0.08828514200606029,0.5
